datetime,open,high,low,close,volume
2020-12-30 15:30:00,690.65002,696.48999,690.52002,694.64880,3350493
2020-12-30 14:30:00,694.31000,696.59998,687.72009,690.65002,7485556
2020-12-30 13:30:00,687.25690,694.70001,685.20001,694.28003,5853785
2020-12-30 12:30:00,684.39001,687.50000,682.09998,687.28998,3820709
2020-12-30 11:30:00,682.39301,686.98999,679.35999,684.17902,6427560
2020-12-30 10:30:00,674.98999,683.44989,671.43811,682.37000,6291327
2020-12-30 09:30:00,671.46002,677.00000,668.36029,674.87500,8323811
2020-12-29 15:30:00,664.09003,666.09998,663.62000,665.97998,1548003
2020-12-29 14:30:00,663.23999,665.84882,660.75000,664.08002,1859099
2020-12-29 13:30:00,665.99011,666.23993,662.24548,663.24902,1633319
2020-12-29 12:30:00,658.61829,666.37000,658.00000,665.99799,2494892
2020-12-29 11:30:00,661.17499,663.59497,657.56000,658.67999,2248524
2020-12-29 10:30:00,660.28998,665.48010,659.00000,661.18500,3670901
2020-12-29 09:30:00,661.00000,669.90002,655.00000,660.28998,7953516
2020-12-28 15:30:00,666.82001,668.03998,662.28003,663.77002,2506717
2020-12-28 14:30:00,668.10999,669.14001,665.78998,666.68500,1752353
2020-12-28 13:30:00,668.78180,669.65991,666.38000,668.10248,1733599
2020-12-28 12:30:00,667.90997,671.44989,665.95001,668.76001,2674065
2020-12-28 11:30:00,671.48999,673.50000,665.08002,668.02002,3467413
2020-12-28 10:30:00,668.65002,672.50000,660.79999,671.48999,5814026
2020-12-28 09:30:00,674.70972,681.40002,665.21002,668.50610,12483613
2020-12-24 12:30:00,662.89001,663.20001,659.00000,661.77002,2891114
2020-12-24 11:30:00,662.99841,666.08960,660.00000,662.87769,5082329
2020-12-24 10:30:00,657.47803,665.23401,657.40002,662.90002,6172283
2020-12-24 09:30:00,643.01001,659.72998,641.00000,657.34998,8188490
2020-12-23 15:30:00,646.16248,648.39252,643.79999,645.79169,2302429
2020-12-23 14:30:00,645.00000,649.06799,644.57013,646.20001,2674834
2020-12-23 13:30:00,644.59998,646.67999,643.00000,644.91541,2104891
2020-12-23 12:30:00,646.13000,647.97998,643.04999,644.69000,2536208
2020-12-23 11:30:00,642.75000,646.84998,641.00000,646.15668,3835099
2020-12-23 10:30:00,644.00000,651.48999,642.39050,642.82001,5783377
2020-12-23 09:30:00,631.67999,647.97998,622.57013,643.95361,12141118
2020-12-22 15:30:00,635.32001,641.87512,634.87000,640.34003,3139050
2020-12-22 14:30:00,633.73999,639.50000,630.51001,635.21002,4330376
2020-12-22 13:30:00,624.28003,637.53998,622.39001,633.81927,6132857
2020-12-22 12:30:00,620.75000,627.98999,620.62012,624.26849,3548573
2020-12-22 11:30:00,624.20001,629.48999,614.22998,620.73999,8572423
2020-12-22 10:30:00,634.88281,637.81000,618.40002,623.99500,10956988
2020-12-22 09:30:00,647.15002,649.88000,632.02002,634.84497,13428449
2020-12-21 15:30:00,659.38000,660.65997,646.07001,649.85999,8521180
2020-12-21 14:30:00,662.62000,664.01001,656.00000,659.49280,4656143
2020-12-21 13:30:00,664.66882,665.89001,660.76007,662.65002,3215569
2020-12-21 12:30:00,657.37579,668.01001,657.00000,664.71851,5545471
2020-12-21 11:30:00,655.98999,663.39001,655.34998,657.26001,5702153
2020-12-21 10:30:00,662.59003,665.06000,654.01001,656.00000,7005314
2020-12-21 09:30:00,666.23999,668.47998,651.20062,662.69501,20204001
2020-12-18 15:30:00,654.61212,674.40002,628.53998,664.98999,26459926
2020-12-18 14:30:00,674.84998,676.97992,646.37000,654.33618,14054551
2020-12-18 13:30:00,675.40002,676.55652,670.37500,674.73499,6734520
2020-12-18 12:30:00,668.84998,679.00000,667.31000,675.23871,9540203
2020-12-18 11:30:00,663.47998,671.00000,660.31000,668.70001,7954943
2020-12-18 10:30:00,669.89471,675.54999,651.34998,663.56763,12025778
2020-12-18 09:30:00,665.48999,684.72998,656.59998,669.95001,27188861
2020-12-17 15:30:00,647.72998,658.82001,647.44000,655.79498,7652281
2020-12-17 14:30:00,648.54858,649.30188,641.46002,647.46997,4889137
2020-12-17 13:30:00,645.89001,648.75000,642.04999,648.48199,4363797
2020-12-17 12:30:00,645.41852,649.00000,643.70312,645.89001,5917233
2020-12-17 11:30:00,642.03998,646.54999,637.18500,645.46002,7523817
2020-12-17 10:30:00,637.19623,642.75000,631.00000,641.96997,8953135
2020-12-17 09:30:00,628.43970,639.03979,619.50000,637.21503,13407512
2020-12-16 15:30:00,623.00000,624.40930,621.60999,622.77002,2763789
2020-12-16 14:30:00,621.00000,627.00000,620.84003,622.94598,4536847
2020-12-16 13:30:00,621.51001,623.97998,615.78003,620.88702,3957911
2020-12-16 12:30:00,619.59998,624.00000,619.40997,621.56000,3864881
2020-12-16 11:30:00,617.67999,620.20001,613.70001,619.70001,4387990
2020-12-16 10:30:00,614.53668,618.58002,609.59100,617.66742,6653786
